STRANA,seats,possible5,counted
1,0,0,10.0
2,2,1,10.0
3,13,1,10.0
4,0,0,10.0
5,6,1,10.0
6,0,0,10.0
7,0,0,10.0
8,0,0,10.0
9,0,0,10.0
10,9,1,10.0
11,4,1,10.0
