STRANA,seats,possible5,counted
1,10,1,100.0
2,3,1,100.0
3,0,0,100.0
4,9,1,100.0
5,6,1,100.0
6,5,1,100.0
7,0,0,100.0
8,0,0,100.0
9,0,0,100.0
10,0,0,100.0
11,9,1,100.0
12,3,1,100.0
