STRANA,seats,possible5,counted
1,0,0,76.0
2,0,0,76.0
3,6,1,76.0
4,0,0,76.0
5,0,0,76.0
6,10,1,76.0
7,8,1,76.0
8,12,1,76.0
9,7,1,76.0
