STRANA,seats,possible5,counted
1,0,0,98.0
2,0,0,98.0
3,0,0,98.0
4,11,1,98.0
5,0,0,98.0
6,5,1,98.0
7,0,0,98.0
8,13,1,98.0
9,0,0,98.0
10,0,0,98.0
11,0,0,98.0
12,0,0,98.0
13,0,0,98.0
14,18,1,98.0
15,0,0,98.0
16,3,1,98.0
17,0,0,98.0
18,0,0,98.0
19,0,0,98.0
20,0,0,98.0
21,14,1,98.0
22,0,0,98.0
