STRANA,seats,possible5,counted
1,3,1,88.0
2,3,1,88.0
3,4,1,88.0
4,0,0,88.0
5,0,0,88.0
6,13,1,88.0
7,0,0,88.0
8,5,1,88.0
9,0,0,88.0
10,7,1,88.0
11,0,0,88.0
12,0,0,88.0
13,0,0,88.0
