STRANA,seats,possible5,counted
1,3,1,88.0
2,0,0,88.0
3,4,1,88.0
4,3,1,88.0
5,10,1,88.0
6,0,0,88.0
7,6,1,88.0
8,13,1,88.0
9,0,0,88.0
10,0,0,88.0
11,15,1,88.0
12,0,0,88.0
13,0,0,88.0
14,0,0,88.0
