STRANA,seats,possible5,counted
1,0,0,100.0
2,9,1,100.0
3,8,1,100.0
4,4,1,100.0
5,0,0,100.0
6,10,1,100.0
7,14,1,100.0
8,0,0,100.0
9,0,0,100.0
