STRANA,seats,possible5,counted
1,0,0,65.0
2,0,0,65.0
3,2,1,65.0
4,6,1,65.0
5,22,1,65.0
6,0,0,65.0
7,0,0,65.0
8,4,1,65.0
9,0,0,65.0
10,0,0,65.0
11,5,1,65.0
