STRANA,seats,possible5,counted
1,8,1,70.0
2,4,1,70.0
3,4,1,70.0
4,2,1,70.0
5,13,1,70.0
6,3,1,70.0
7,4,1,70.0
8,0,0,70.0
9,0,0,70.0
