STRANA,seats,possible5,counted
1,6,1,23.0
2,0,0,23.0
3,0,0,23.0
4,0,0,23.0
5,6,1,23.0
6,0,0,23.0
7,0,0,23.0
8,20,1,23.0
9,3,1,23.0
10,0,0,23.0
11,0,0,23.0
12,0,0,23.0
13,6,1,23.0
14,0,0,23.0
