STRANA,seats,possible5,counted
1,0,0,32.0
2,11,1,32.0
3,2,1,32.0
4,11,1,32.0
5,5,1,32.0
6,3,1,32.0
7,0,0,32.0
8,0,0,32.0
9,0,0,32.0
10,4,1,32.0
