STRANA,seats,possible5,counted
1,0,0,100.0
2,0,0,100.0
3,3,1,100.0
4,10,1,100.0
5,0,0,100.0
6,5,1,100.0
7,10,1,100.0
8,6,1,100.0
9,0,0,100.0
10,0,0,100.0
11,0,0,100.0
12,7,1,100.0
