STRANA,seats,possible5,counted
1,0,0,75.0
2,0,0,75.0
3,0,0,75.0
4,0,0,75.0
5,2,1,75.0
6,0,0,75.0
7,0,0,75.0
8,6,1,75.0
9,2,1,75.0
10,0,0,75.0
11,11,1,75.0
12,4,1,75.0
13,3,1,75.0
14,4,1,75.0
15,0,0,75.0
