STRANA,seats,possible5,counted
1,5,1,96.0
2,15,1,96.0
3,0,0,96.0
4,4,1,96.0
5,4,1,96.0
6,0,0,96.0
7,0,0,96.0
8,0,0,96.0
9,0,0,96.0
10,15,1,96.0
11,0,0,96.0
12,0,0,96.0
13,0,0,96.0
14,4,1,96.0
