STRANA,seats,possible5,counted
1,3,1,32.0
2,0,0,32.0
3,0,0,32.0
4,0,0,32.0
5,0,0,32.0
6,5,1,32.0
7,11,1,32.0
8,13,1,32.0
9,2,1,32.0
10,3,1,32.0
11,0,0,32.0
